Asignatura	Genero	Edad	Repeticiones	Masa corporal	Estatura	Carrera	Materias matriculadas	Zona.residencia	Estrato
Matematicas.I	Masculino	17	Ninguna	60	1.78	Comercio.Ext	8	Urbano	3
Matematicas.I	Femenino	17	Ninguna	35	1.38	Comercio.Ext	8	Urbano	2
Matematicas.I	Femenino	22	1.vez	70	1.8	Comercio.Ext	9	Urbano	4
Matematicas.I	Masculino	16	Ninguna	65	1.74	Zootecnia	6	Rural	2
Biologia	Masculino	16	Ninguna	64	1.74	Zootecnia	6	Rural	2
Biologia	Masculino	18	Ninguna	65	1.7	Agronomia	6	Rural	2
Matematicas.I	Femenino	17	Ninguna	54	1.64	Zootecnia	4	Urbano	4
Matematicas.I	Femenino	17	Ninguna	54	1.55	Zootecnia	6	Urbano	3
Matematicas.I	Masculino	26	1.vez	82	1.78	Agronomia	4	Urbano	3
Matematicas.I	Masculino	17	Ninguna	60	1.72	Zootecnia	6	Urbano	2
Matematicas.I	Masculino	17	Ninguna	68	1.71	Zootecnia	6	Rural	3
Matematicas.I	Femenino	19	3.veces	56	1.53	Zootecnia	5	Urbano	3
Matematicas.I	Masculino	17	Ninguna	60	1.73	Zootecnia	6	Urbano	2
Matematicas.I	Masculino	25	Ninguna	71	1.74	Contaduría	7	Rural	1
Matematicas.I	Masculino	19	1.vez	80	1.80	Zootecnia	3	Rural	3
Matematicas.I	Masculino	19	1.vez	80	1.80	Zootecnia	3	Rural	3
Matematicas.I	Masculino	19	Ninguna	62	1.77	Agronomia	6	Urbano	3
Matematicas.I	Femenino	18	Ninguna	42	1.55	Agronomia	5	Rural	2
Matematicas.I	Femenino	18	Ninguna	42	1.55	Agronomia	5	Rural	2
Quimica	Femenino	16	1.vez	54	1.6	Ing.Ambiental	7	Urbano	2
Quimica	Femenino	20	Ninguna	50	1.57	Ing.Ambiental	7	Urbano	2
Quimica	Femenino	N/A	1.vez	53	1.6	Ing.Ambiental	5	Rural	2
Quimica	Femenino	17	Ninguna	51	1.65	Enfermería	7	Urbano	3
Quimica	Femenino	19	Ninguna	50	1.56	Ing.Ambiental	5	Urbano	2
Quimica	Femenino	19	Ninguna	53	1.56	Ing.Industrial	7	Urbano	3
Quimica	Masculino	18	Ninguna	68	1.69	Ing.Industrial	5	Urbano	3
Quimica	Masculino	17	Ninguna	68	1.71	Zootecnia	6	Rural	3
Quimica	Femenino	18	Ninguna	50	1.5	Ing.Industrial	7	Rural	2
Quimica	Masculino	17	Ninguna	68	1.71	Zootecnia	6	Rural	3
Quimica	Femenino	18	Ninguna	42	1.55	Agronomia	5	Rural	2
Quimica	Femenino	26	1.vez	106	1.68	Zootecnia	6	Urbano	3
Quimica	Masculino	16	Ninguna	64	1.74	Zootecnia	6	Rural	2
Quimica	Masculino	24	1.vez	73	1.69	Ing.Industrial	7	Urbano	2
Matematicas.I	Femenino	18	1.vez	52	1.67	Zootecnia	5	Urbano	2
Matematicas.I	Femenino	18	1.vez	52	1.67	Zootecnia	5	Urbano	2
Quimica	Femenino	N/A	Ninguna	N/A	N/A	Ing.Ambiental	5	Urbano	4
Quimica	Masculino	17	Ninguna	63	1.73	Agronomia	6	Rural	1
Quimica	Masculino	17	Ninguna	63	1.73	Agronomia	6	Rural	1
Quimica	Masculino	24	1.vez	78	1.69	Ing.Ambiental	5	Rural	2
Quimica	Masculino	18	2.veces	68	1.79	Ing.Industrial	6	Rural	2
Quimica	Masculino	20	Ninguna	74	1.78	Zootecnia	3	Rural	5
Quimica	Masculino	22	Ninguna	73	1.73	Ing.Industrial	5	Rural	3
Quimica	Femenino	22	Ninguna	N/A	1.61	Ing.Industrial	4	Urbano	3
Quimica	Masculino	19	Ninguna	59	1.76	Ing.Industrial	3	Urbano	3
Quimica	Masculino	25	1.vez	75	1.8	Ing.Industrial	6	Rural	2
Calculo.Integral	Femenino	20	3.veces	52	1.6	Ing.Industrial	5	Urbano	2
Quimica	Masculino	19	1.vez	62	1.75	Agronomia	4	Urbano	3
Quimica	Femenino	24	3.veces	54	1.55	Ing.Ambiental	6	Urbano	4
Quimica	Masculino	21	2.veces	65	1.75	Ing.Ambiental	4	Urbano	3
Quimica	Masculino	17	Ninguna	70	1.65	Ing.Industrial	6	Rural	2
Calculo.Diferencial	Masculino	19	Ninguna	55	1.74	Ing.Sistemas	6	Urbano	3
Calculo.Diferencial	Masculino	21	Ninguna	72	1.83	Ing.Ambiental	4	Urbano	3
Calculo.Integral	Femenino	20	1.vez	44	1.55	Ing.Ambiental	5	Rural	2
Calculo.Diferencial	Femenino	19	4.veces.o.mas	64	1.65	Ing.Ambiental	5	Rural	2
Quimica	Femenino	17	Ninguna	50	1.55	Zootecnia	6	Urbano	2
Calculo.Diferencial	Femenino	18	Ninguna	57	1.65	Ing.Ambiental	5	Urbano	3
Calculo.Diferencial	Masculino	27	Ninguna	78	1.68	Ing.Electronica	3	Urbano	3
Calculo.Diferencial	Femenino	19	1.vez	47	1.58	Ing.Sistemas	5	Urbano	2
Calculo.Diferencial	Masculino	27	4.veces.o.mas	69	1.74	Ing.Industrial	6	Urbano	3
Calculo.Diferencial	Femenino	18	1.vez	52	1.58	Ing.Industrial	5	Urbano	3
Calculo.Diferencial	Masculino	17	Ninguna	80	1.80	Ing.Sistemas	6	Urbano	3
Calculo.Diferencial	Masculino	27	4.veces.o.mas	69	1.74	Ing.Industrial	6	Urbano	3
Calculo.Diferencial	Masculino	26	1.vez	65	1.69	Ing.Electronica	4	Urbano	3
Calculo.Diferencial	Masculino	19	1.vez	67	1.71	Ing.Electronica	5	Urbano	2
Calculo.Diferencial	Masculino	18	Ninguna	53	1.66	Ing.Sistemas	7	Urbano	3
Calculo.Diferencial	Masculino	22	Ninguna	67	1.8	Ing.Electronica	4	Urbano	4
Ecuaciones.Diferenciales	Masculino	21	1.vez	65	1.75	Ing.Ambiental	4	Urbano	3
Calculo.Integral	Masculino	31	Ninguna	64	1.69	Ing.Industrial	3	Urbano	3
Calculo.Diferencial	Masculino	18	Ninguna	65	1.70	Ing.Sistemas	7	Urbano	3
Calculo.Diferencial	Femenino	17	2.veces	N/A	N/A	Ing.Ambiental	5	Urbano	3
Calculo.Diferencial	Masculino	18	Ninguna	64	1.77	Ing.Sistemas	7	Urbano	2
Calculo.Diferencial	Masculino	23	2.veces	89	1.68	Ing.Ambiental	5	Urbano	3
Calculo.Diferencial	Masculino	21	1.vez	75	1.78	Ing.Sistemas	5	Rural	1
Calculo.Diferencial	Masculino	20	1.vez	66	1.74	Ing.Sistemas	6	Urbano	3
Calculo.Diferencial	Femenino	20	3.veces	44	1.59	Ing.Industrial	6	Urbano	4
Calculo.Diferencial	Masculino	18	2.veces	68	1.79	Ing.Industrial	6	Rural	2
Calculo.Diferencial	Masculino	19	1.vez	50	1.71	Ing.Ambiental	6	Urbano	3
Calculo.Diferencial	Masculino	23	2.veces	74	1.7	Ing.Industrial	4	Urbano	3
Quimica	Masculino	23	1.vez	74	1.7	Ing.Industrial	4	Urbano	3
Calculo.Diferencial	Masculino	18	1.vez	N/A	N/A	Ing.Sistemas	5	Urbano	3
Calculo.Diferencial	Masculino	23	Ninguna	95	1.7	Ing.Industrial	4	Urbano	3
Calculo.Diferencial	Masculino	27	1.vez	68	1.72	Ing.Industrial	4	Urbano	2
Calculo.Diferencial	Masculino	18	1.vez	80	1.73	Ing.Sistemas	7	Urbano	3
Calculo.Diferencial	Femenino	19	2.veces	53	1.6	Ing.Industrial	4	Urbano	3
Calculo.Diferencial	Masculino	26	Ninguna	72	1.73	Ing.Industrial	5	Rural	3
Calculo.Diferencial	Femenino	22	2.veces	59	1.55	Ing.Ambiental	5	Urbano	2
Calculo.Diferencial	Masculino	18	Ninguna	N/A	1.79	Ing.Industrial	6	Urbano	2
Quimica	Masculino	25	Ninguna	82	1.71	Ing.Ambiental	7	Rural	2
Calculo.Diferencial	Masculino	25	Ninguna	83	1.71	Ing.Industrial	7	Rural	2
Quimica	Masculino	23	Ninguna	54	1.7	Agronomia	3	Rural	2
Matematicas.I	Masculino	23	1.vez	54	1.7	Agronomia	3	Rural	2
Calculo.Diferencial	Masculino	18	1.vez	59	1.7	Ing.Sistemas	6	Urbano	3
Fisica.Mecanica	Masculino	27	2.veces	69	1.74	Ing.Industrial	6	Urbano	3
Calculo.Diferencial	Femenino	20	4.veces.o.mas	48	1.61	Ing.Industrial	5	Urbano	3
Calculo.Diferencial	Masculino	20	1.vez	65	1.8	Ing.Sistemas	6	Urbano	1
Calculo.Diferencial	Femenino	20	3.veces	65	1.7	Ing.Industrial	6	Rural	2
Algebra	Masculino	26	3.veces	76	1.7	Ing.Industrial	5	Rural	2
Algebra	Masculino	26	3.veces	76	1.7	Ing.Industrial	5	Rural	2
Geometria.trigonometria	Masculino	26	2.veces	76	1.7	Ing.Industrial	5	Rural	2
Geometria.trigonometria	Masculino	26	2.veces	76	1.7	Ing.Industrial	5	Rural	2
Quimica	Masculino	27	1.vez	68	1.72	Ing.Industrial	4	Urbano	2
Estadistica.I	Masculino	27	1.vez	68	1.72	Ing.Industrial	4	Urbano	2
Quimica	Masculino	27	1.vez	68	1.72	Ing.Industrial	4	Urbano	2
Calculo.Diferencial	Masculino	27	1.vez	68	1.72	Ing.Industrial	4	Urbano	2
Calculo.Diferencial	Masculino	19	2.veces	66	1.83	Ing.Sistemas	5	Urbano	3
Calculo.Diferencial	Masculino	19	1.vez	61	1.71	Ing.Ambiental	4	Rural	1
Quimica	Femenino	19	Ninguna	56	1.53	Zootecnia	5	Urbano	3
Calculo.Diferencial	Femenino	27	4.veces.o.mas	56	1.61	Ing.Industrial	5	Urbano	2
Calculo.Diferencial	Femenino	N/A	1.vez	N/A	N/A	Ing.Ambiental	5	Urbano	4
Algebra.lineal	Femenino	N/A	1.vez	N/A	N/A	Ing.Ambiental	5	Urbano	4
Calculo.Multivariado	Masculino	18	Ninguna	57	1.63	Ing.Sistemas	5	Rural	1
Geometria.trigonometria	Femenino	26	Ninguna	55	1.67	Ing.Ambiental	7	Urbano	2
Calculo.Multivariado	Masculino	19	Ninguna	63	1.84	Ing.Electronica	5	Urbano	3
Algebra	Masculino	18	Ninguna	90	1.86	Ing.Sistemas	7	Urbano	3
Algebra	Femenino	17	Ninguna	50	1.68	Ing.Industrial	7	Urbano	3
Algebra	Femenino	17	Ninguna	50	1.68	Ing.Industrial	7	Urbano	3
Geometria.trigonometria	Masculino	17	Ninguna	58	1.62	Ing.Sistemas	7	Urbano	2
Algebra.lineal	Masculino	19	1.vez	67	1.71	Ing.Electronica	5	Urbano	2
Geometria.trigonometria	Masculino	17	Ninguna	56	1.72	Ing.Ambiental	7	Urbano	3
Calculo.Diferencial	Masculino	22	3.veces	72	1.72	Ing.Industrial	3	Urbano	3
Geometria.trigonometria	Femenino	16	Ninguna	45	1.59	Ing.Industrial	7	Rural	3
Geometria.trigonometria	Masculino	19	Ninguna	63	1.75	Ing.Sistemas	7	Urbano	3
Geometria.trigonometria	Masculino	18	1.vez	66	1.68	Ing.Sistemas	7	Rural	1
Geometria.trigonometria	Femenino	17	Ninguna	62	1.63	Ing.Sistemas	7	Urbano	3
Geometria.trigonometria	Masculino	18	Ninguna	60	1.71	Ing.Ambiental	7	Urbano	3
Calculo.Diferencial	Femenino	18	2.veces	54	1.60	Ing.Industrial	6	Urbano	3
Algebra.lineal	Femenino	18	1.vez	54	1.60	Ing.Industrial	6	Urbano	3
Algebra.lineal	Masculino	17	Ninguna	70	1.80	Ing.Sistemas	6	Urbano	3
Metodos.numéricos	Masculino	19	Ninguna	65	1.75	Ing.Sistemas	6	Urbano	4
Metodos.numéricos	Masculino	28	Ninguna	73	1.73	Ing.Electronica	3	Urbano	3
Calculo.Diferencial	Femenino	22	2.veces	54	1.57	Ing.Industrial	5	Rural	3
Algebra.lineal	Masculino	20	1.vez	54	1.78	Ing.Industrial	7	Urbano	3
Calculo.Multivariado	Masculino	30	2.veces	90	1.78	Ing.Industrial	3	Urbano	3
Calculo.Diferencial	Femenino	23	1.vez	60	1.70	Ing.Industrial	6	Urbano	3
Geometria.trigonometria	Masculino	18	Ninguna	112	1.80	Ing.Sistemas	7	Urbano	2
Geometria.trigonometria	Masculino	20	Ninguna	60	1.64	Ing.Ambiental	7	Urbano	3
Algebra.lineal	Femenino	19	1.vez	52	1.75	Ing.Industrial	5	Urbano	3
Algebra.lineal	Masculino	24	1.vez	73	1.76	Ing.Industrial	6	Urbano	2
Calculo.Diferencial	Masculino	24	1.vez	73	1.69	Ing.Industrial	6	Urbano	2
Algebra.lineal	Masculino	24	1.vez	73	1.69	Ing.Industrial	6	Urbano	2
Quimica	Masculino	24	1.vez	73	1.69	Ing.Industrial	6	Urbano	2
Algebra	Masculino	33	1.vez	73	1.73	Ing.Industrial	4	Urbano	2
Algebra.lineal	Masculino	24	1.vez	73	1.69	Ing.Sistemas	6	Urbano	2
Algebra.lineal	Femenino	18	Ninguna	55	1.60	Ing.Ambiental	5	Rural	2
Calculo.Diferencial	Masculino	24	1.vez	73	1.69	Ing.Industrial	3	Urbano	2
Calculo.Diferencial	Masculino	24	1.vez	73	1.69	Ing.Industrial	3	Urbano	2
Quimica	Masculino	19	1.vez	71	1.70	Ing.Ambiental	5	Urbano	2
Algebra.lineal	Masculino	35	Ninguna	90	1.80	Ing.Industrial	6	Urbano	3
Geometria.trigonometria	Masculino	17	Ninguna	60	1.70	Ing.Ambiental	7	Rural	1
Algebra.lineal	Masculino	18	Ninguna	53	1.66	Ing.Sistemas	7	Urbano	3
Algebra.lineal	Femenino	22	Ninguna	65	1.68	Ing.Sistemas	4	Rural	1
Quimica	Femenino	17	1.vez	55	1.63	Zootecnia	4	Urbano	4
Geometria.trigonometria	Femenino	18	Ninguna	56	1.60	Ing.Ambiental	7	Urbano	3
Calculo.Diferencial	Masculino	20	1.vez	54	1.78	Ing.Industrial	7	Urbano	3
Calculo.Integral	Masculino	28	Ninguna	85	1.76	Ing.Sistemas	5	Rural	2
Geometria.trigonometria	Femenino	18	1.vez	64	1.70	Ing.Ambiental	5	Rural	2
Geometria.trigonometria	Femenino	17	Ninguna	78	1.80	Ing.Ambiental	6	Urbano	2
Geometria.trigonometria	Femenino	17	Ninguna	53	1.55	Ing.Ambiental	7	Urbano	2
Geometria.trigonometria	Femenino	17	Ninguna	50	1.53	Ing.Ambiental	7	Urbano	3
Geometria.trigonometria	Femenino	17	Ninguna	50	1.50	Ing.Ambiental	7	Urbano	2
Quimica	Femenino	19	Ninguna	43	1.60	Ing.Industrial	5	Urbano	3
Geometria.trigonometria	Femenino	19	1.vez	43	1.60	Ing.Industrial	5	Urbano	3
Quimica	Masculino	17	Ninguna	60	1.73	Zootecnia	6	Urbano	2
Biologia	Femenino	20	Ninguna	70	1.65	Enfermería	7	Urbano	2
Algebra	Femenino	17	Ninguna	58	1.50	Ing.Ambiental	7	Rural	1
Algebra	Masculino	18	Ninguna	68	1.69	Ing.Industrial	5	Urbano	3
Algebra	Masculino	17	Ninguna	74	1.68	Ing.Sistemas	7	Urbano	3
Algebra	Masculino	16	Ninguna	65	1.81	Ing.Industrial	7	Urbano	3
Geometria.trigonometria	Masculino	18	Ninguna	66	1.68	Ing.Sistemas	6	Rural	1
Calculo.Diferencial	Masculino	18	Ninguna	61.2	1.73	Ing.Electronica	5	Urbano	4
Algebra	Masculino	17	Ninguna	56	1.62	Ing.Sistemas	7	Urbano	2
Geometria.trigonometria	Masculino	17	Ninguna	63	1.73	Ing.Industrial	7	Urbano	1
Geometria.trigonometria	Masculino	17	Ninguna	63	1.73	Ing.Industrial	7	Urbano	1
Geometria.trigonometria	Masculino	16	Ninguna	61	1.70	Ing.Sistemas	7	Urbano	3
Geometria.trigonometria	Masculino	17	Ninguna	58	1.75	Ing.Sistemas	7	Urbano	3
Algebra.lineal	Femenino	18	Ninguna	58	1.59	Ing.Ambiental	7	Urbano	3
Matematicas.I	Femenino	24	1.vez	59	1.61	Contaduría	7	Urbano	3
Matematicas.I	Femenino	17	Ninguna	50	1.63	Comercio.Ext	8	Urbano	3
Matematicas.I	Masculino	20	Ninguna	47	1.60	Administración	5	Rural	1
Matematicas.I	Femenino	16	Ninguna	64	1.62	Comercio.Ext	8	Rural	2
Estadistica.I	Masculino	19	Ninguna	70	1.82	Administración	7	Urbano	3
Matematicas.I	Femenino	21	4.veces.o.mas	59	1.64	Administración	6	Rural	3
Matematicas.I	Masculino	21	1.vez	74	1.74	Comercio.Ext	7	Urbano	2
Matematicas.I	Masculino	17	Ninguna	75	1.70	Contaduría	7	Urbano	3
Biologia	Femenino	16	Ninguna	70	1.65	Enfermería	7	Rural	1
Biologia	Masculino	16	Ninguna	65	1.68	Enfermería	7	Rural	1
Biologia	Femenino	22	Ninguna	56	1.60	Enfermería	7	Urbano	1
Biologia	Femenino	21	2.veces	45	1.58	Enfermería	7	Urbano	3
Biologia	Femenino	20	Ninguna	69	1.65	Enfermería	7	Urbano	2
Estadistica.II	Masculino	19	Ninguna	65	1.79	Ing.Industrial	4	Rural	2
Estadistica.II	Femenino	22	Ninguna	48	1.56	Ing.Industrial	4	Rural	2
Estadistica.I	Femenino	22	Ninguna	64	1.67	Administración	5	Urbano	3
Estadistica.I	Masculino	18	Ninguna	77	1.68	Ing.Sistemas	6	Urbano	3
Estadistica.I	Femenino	19	Ninguna	60	1.69	Ing.Ambiental	6	Urbano	1
Estadistica.I	Femenino	25	Ninguna	54	1.60	Administración	7	Urbano	3
Estadistica.I	Femenino	19	Ninguna	67	1.68	Administración	6	Urbano	3
Estadistica.II	Masculino	34	Ninguna	78	1.80	Ing.Industrial	3	Urbano	3
Estadistica.II	Masculino	21	Ninguna	76	1.76	Ing.Industrial	5	Rural	3
Estadistica.I	Femenino	20	Ninguna	60	1.71	Administración	6	Rural	3
Estadistica.I	Masculino	18	Ninguna	70	1.80	Ing.Sistemas	6	Urbano	4
Estadistica.I	Masculino	18	Ninguna	70	1.73	Ing.Ambiental	5	Urbano	3
Estadistica.I	Masculino	21	Ninguna	75	1.77	Ing.Electronica	5	Urbano	3
Estadistica.I	Masculino	18	Ninguna	70	1.73	Ing.Ambiental	5	Urbano	3
Estadistica.II	Femenino	19	Ninguna	62	1.65	Ing.Industrial	3	Urbano	1
Estadistica.I	Masculino	21	Ninguna	69	1.68	Enfermería	7	Urbano	2
Estadistica.II	Masculino	22	Ninguna	90	1.76	Ing.Industrial	5	Urbano	1
Estadistica.II	Femenino	18	Ninguna	50	1.52	Ing.Industrial	6	Urbano	3
Estadistica.II	Masculino	20	Ninguna	70	1.73	Ing.Industrial	5	Urbano	2
Estadistica.II	Masculino	18	Ninguna	70	1.75	Ing.Industrial	5	Rural	3
Estadistica.I	Femenino	20	Ninguna	60	1.60	Comercio.Ext	9	Urbano	3
Estadistica.II	Masculino	23	Ninguna	66	1.69	Ing.Industrial	6	Urbano	2
Estadistica.II	Masculino	24	Ninguna	70	1.70	Ing.Industrial	5	Urbano	3
Estadistica.II	Masculino	31	Ninguna	68	1.74	Ing.Industrial	5	Rural	4
Estadistica.II	Masculino	30	Ninguna	86	1.84	Ing.Industrial	5	Rural	3
Estadistica.I	Masculino	20	Ninguna	74	1.83	Ing.Sistemas	6	Urbano	5
Estadistica.I	Masculino	19	1.vez	77	1.80	Contaduría	7	Urbano	3
Estadistica.I	Femenino	25	Ninguna	54	1.60	Administración	7	Urbano	3
Estadistica.I	Femenino	18	1.vez	55	1.57	Ing.Industrial	6	Urbano	2
Estadistica.II	Masculino	18	Ninguna	N/A	1.79	Ing.Industrial	5	Urbano	2
Estadistica.II	Femenino	20	Ninguna	45	1.59	Ing.Industrial	6	Urbano	4
Estadistica.I	Femenino	22	Ninguna	64	1.67	Administración	5	Urbano	3
Estadistica.I	Masculino	19	1.vez	N/A	1.69	Ing.Industrial	7	Urbano	3
Estadistica.I	Femenino	18	Ninguna	N/A	1.60	Ing.Ambiental	5	Rural	2
Estadistica.I	Femenino	18	Ninguna	N/A	1.58	Ing.Industrial	6	Rural	4
Estadistica.I	Masculino	21	Ninguna	N/A	1.81	Comercio.Ext	7	Urbano	3
Estadistica.I	Masculino	19	Ninguna	N/A	1.90	Administración	6	Rural	4
Estadistica.I	Masculino	19	Ninguna	N/A	1.79	Contaduría	7	Urbano	3
Estadistica.I	Masculino	18	Ninguna	N/A	1.77	Ing.Sistemas	7	Urbano	3
Estadistica.I	Masculino	18	Ninguna	N/A	1.74	Ing.Sistemas	8	Rural	2
Estadistica.I	Masculino	20	Ninguna	N/A	1.82	Administración	7	Urbano	3
Estadistica.I	Masculino	20	Ninguna	N/A	1.85	Administración	7	Urbano	3
Estadistica.I	Masculino	22	Ninguna	N/A	1.74	Ing.Industrial	4	Urbano	2
Estadistica.I	Femenino	17	Ninguna	N/A	1.63	Ing.Industrial	7	Urbano	2
Estadistica.I	Masculino	18	Ninguna	N/A	1.65	Ing.Sistemas	6	Urbano	2
Estadistica.I	Femenino	18	Ninguna	N/A	1.63	Ing.Industrial	5	Urbano	3
Estadistica.I	Femenino	23	Ninguna	N/A	1.64	Comercio.Ext	6	Rural	2
Estadistica.I	Masculino	20	Ninguna	N/A	1.70	Comercio.Ext	6	Urbano	4
